name,lat,lon,population,area_sqkm,density,boda_factor
Westlands,-1.265,36.8,308854,97.5,3167,1.2
Dagoretti,-1.293,36.744,434208,29.1,14908,1.4
Lang'ata,-1.35,36.77,197489,216.8,911,0.8
Kibra,-1.315,36.785,185777,12.1,15311,1.5
Kasarani,-1.22,36.9,780656,86.2,9058,1.6
Mathare,-1.26,36.865,206564,3.0,68941,1.8
Starehe,-1.275,36.825,210423,20.6,10205,2.0
Makadara,-1.3,36.86,189536,11.7,16150,1.7
Kamukunji,-1.285,36.845,268276,10.5,25455,1.5
Njiru,-1.25,36.94,626482,129.9,4821,1.1
Embakasi,-1.31,36.9,988808,86.3,11460,1.9
