Rider_ID,Subcounty,Latitude,Longitude,Daily_Distance_km,Daily_Income_KES,Income_Volatility,Distance_to_BSS_km,Petrol_Daily_Cost_KES,Electric_Daily_Cost_KES,PAYG_Daily_Payment_KES,Net_Savings_KES,Default_Probability,Default_Indicator
RID-0001,Kasarani,-1.216445979981335,36.8732931128258,93.1,970.0,0.312,1.44,582.0,355.0,450.0,228.0,0.0275,0
RID-0002,Embakasi,-1.3023960429798809,36.91221171490567,70.3,935.0,0.308,3.6,451.0,270.0,450.0,182.0,0.0692,0
RID-0003,Kamukunji,-1.273804191041379,36.86661561451109,62.0,791.0,0.201,3.16,404.0,239.0,450.0,165.0,0.0609,0
RID-0004,Starehe,-1.2583215569090218,36.83418360158457,64.4,766.0,0.183,2.53,418.0,248.0,450.0,170.0,0.0491,0
RID-0005,Dagoretti,-1.2944033142291729,36.71078078132968,72.7,1093.0,0.223,2.84,465.0,279.0,450.0,186.0,0.0226,0
RID-0006,Dagoretti,-1.2844076356173482,36.74815375374326,74.7,890.0,0.243,2.32,477.0,286.0,450.0,191.0,0.0385,0
RID-0007,Westlands,-1.2595684232560924,36.77446502848359,68.5,1063.0,0.16,2.9,441.0,263.0,450.0,178.0,0.0196,0
RID-0008,Njiru,-1.2716211308081653,36.96106305706665,60.6,823.0,0.298,7.35,396.0,234.0,450.0,162.0,0.2847,0
RID-0009,Starehe,-1.275791103077133,36.83863001394746,73.2,1036.0,0.222,3.27,468.0,281.0,450.0,187.0,0.031,0
RID-0010,Makadara,-1.2994336324773907,36.86059512278992,82.7,1261.0,0.184,2.23,523.0,316.0,450.0,207.0,0.0086,0
RID-0011,Westlands,-1.24623432388048,36.78967910543565,88.9,1117.0,0.127,1.89,558.0,339.0,450.0,219.0,0.0091,0
RID-0012,Embakasi,-1.3080775844611803,36.890754494225895,71.6,918.0,0.16,3.16,459.0,275.0,450.0,184.0,0.0331,0
RID-0013,Njiru,-1.2586899245486463,36.933816557530626,73.8,1051.0,0.337,4.68,472.0,283.0,450.0,189.0,0.0773,0
RID-0014,Kibra,-1.3105573245673257,36.775425027566726,66.1,952.0,0.176,1.13,428.0,255.0,450.0,173.0,0.0165,0
RID-0015,Lang'ata,-1.3248848774885296,36.752107853955614,79.5,1002.0,0.142,2.98,504.0,304.0,450.0,200.0,0.0214,0
